Word,NumId
Proclivity,1
Tendency,1
Inclination,1
Propensity,1
Predilection,1
Relegation,2
Demotion,2
Degradation,2
Tamper,3
Tinker,4
Strengthen,5
Bolster,5
Debilitate,-5
Weaken,-5
Reinforce,5
Reinvigorate,5
Expunge,6
Obliterate,6
Eradicate,6
Destroy,7
Efface,6
Eliminate,6
Abolish,6
Extirpate,6
Annihilate,7
Altercation,8
Strife,8
Clash,8
Conflict,8
Discord,8
Dispute,8
Scuffle,8
Brawl,8
Tussle,8
Skirmish,8
Scrimmage,8
Ruckus,8
Vandalize,7
Jeopardise,7
Decimate,6
Devastate,7
Demolish,7
Dilapidate,7
Sabotaged,9
Deteriorated,9
Ruined,9
Depreciated,9
Decayed,9
Damaged,9
Ravaged,9
Crumbled,9
Wrecked,9
Mouldered,9
Decrepit,9
Worn out,9
Tumbledown (buildings/big structures),9
Ramshackle (building/vehicle),9
Rickety (building/equipment),9
Derelict,9
Shambles,10
Chaos,10
Mayhem (incident),10
Mess,10
Disarray,10
Havoc,10
Disorder,10
Effectuate,11
Promulgate,11
Enforce,12
Impose,12
Compel,13
Oblige,13
Impel,13
Exact (Vb.),13
Constrain,13
Exact,14
Precise,14
Accurate,14
Correct,14
Wrong,-14
Amiss (odd),-14
Fake,15
Counterfeit (fraudulent),15
Forged,15
Bogus,15
Lie (statement),-14
Sham,-14
Fact,14
Spurious (object),15
Incorrect,-14
Genuine,-15
Real,-15
Truth (adj.),-15
Imprecise,-14
Original,-15
Authentic,-15
Bona fide (legal),-15
Actual,-15
Untrue,15
Comply,16
Agree,16
Consent,16
Accede,16
Accord (formal),16
Assent,16
Infer,17
Imply,17
Deduce,17
Conclude,17
Complicit,18
Involved (criminal),18
Guilty,18
Innocent,-18
Profuse,19
Plenty,19
Abundant,19
Copious,19
Surplus,19
Excess,19
Surfeit,19
Extra,19
Abase,20
Degrade (demean),20
Denigrate,20
Humiliate,20
Vilify,20
Disparage,20
Derogate,20
Belittle,20
Lambast,20
Excoriate,20
Venerate,-21
Adulate,-21
Esteem,-21
Exalt,-21
Acclaim,-21
Glorify,-21
Extol,-20
Honour,-21
Disrespect,21
Respect,-21
Praise,-20
Compliment,-20
Applaud,-21
Commend,-20
Admire,-21
Appraise,-20
Laud,-20
Belaud,-21
Condemn,21
Criticize,21
Insult,20
Berate,-21
Revere,-21
Offend,20
Abuse (In person),20
Deplore,21
Denounce,21
Censure,21
